id,state_name,state,could_not_afford_dotor,birth_no_hs_diploma
1,Alabama,AL,17.4,14.9
2,Alaska,AK,11.9,11.3
3,Arizona,AZ,15.5,15.2
4,Arkansas,AR,18.2,15.4
5,California,CA,13.5,17.4
6,Colorado,CO,13.1,12.2
7,Connecticut,CT,11.3,9.1
8,Delaware,DE,10.8,10.9
9,District of Columbia,DC,10.5,14.3
10,Florida,FL,17.6,13.7
11,Georgia,GA,19,16.4
12,Hawaii,HI,8.7,7.5
13,Idaho,ID,15.8,10.1
14,Illinois,IL,12.4,11.3
15,Indiana,IN,15.1,15.9
16,Iowa,IA,8.8,10.2
17,Kansas,KS,12.5,12.8
18,Kentucky,KY,15.9,12.6
19,Louisiana,LA,17.5,16.7
20,Maine,ME,10.9,6.1
21,Maryland,MD,10.1,9.8
22,Massachusetts,MA,8.3,8.7
23,Michigan,MI,14.6,11.1
24,Minnesota,MN,9.2,8.3
25,Mississippi,MS,19.4,11.5
26,Missouri,MO,13.7,12.1
27,Montana,MT,11.9,8.4
28,Nebraska,NE,11.8,11.9
29,Nevada,NV,17.3,16.2
30,New Hampshire,NH,11.1,3.6
31,New Jersey,NJ,14,9.9
32,New Mexico,NM,17.2,16.9
33,New York,NY,14,15.2
34,North Carolina,NC,16.2,14
35,North Dakota,ND,7,6.9
36,Ohio,OH,13.1,14.4
37,Oklahoma,OK,15,13.3
38,Oregon,OR,14.4,11.5
39,Pennsylvania,PA,11.8,12.3
40,Puerto Rico,PR,12.2,15.7
41,Rhode Island,RI,11.9,15
42,South Carolina,SC,18.1,12.1
43,South Dakota,SD,10,7.5
44,Tennessee,TN,15.5,15.8
45,Texas,TX,17.6,18
46,Utah,UT,14.3,8.4
47,Vermont,VT,9.1,11.7
48,Virginia,VA,13.1,8.2
49,Washington,WA,12.3,13.6
50,West Virginia,WV,16.5,10.5
51,Wisconsin,WI,10.6,10.6
52,Wyoming,WY,11.8,6.4
