,city,clouds,country,humidity,lat,temp,windspeed
0,albany,0,au,93,-35.02,286.483,3.57
1,new norfolk,75,au,87,-42.78,288.15,7.7
2,mataura,NaN,pf,NaN,NaN,NaN,NaN
3,ushuaia,75,ar,47,-54.81,288.15,11.3
4,port alfred,80,za,90,-33.59,294.483,1.77
5,new norfolk,75,au,87,-42.78,288.15,7.7
6,punta arenas,75,cl,47,-53.16,287.1,14.4
7,port alfred,80,za,90,-33.59,294.483,1.77
8,punta arenas,75,cl,47,-53.16,287.1,14.4
9,bluff,92,nz,95,-46.6,289.508,3.52
10,punta arenas,75,cl,47,-53.16,287.1,14.4
11,bluff,92,nz,95,-46.6,289.508,3.52
12,vaini,75,to,88,-21.2,299.15,2.87
13,busselton,0,au,100,-33.64,291.083,7.62
14,ushuaia,75,ar,47,-54.81,288.15,11.3
15,bluff,92,nz,95,-46.6,289.508,3.52
16,rikitea,64,pf,98,-23.12,300.583,6.32
17,rikitea,64,pf,98,-23.12,300.583,6.32
18,rikitea,64,pf,98,-23.12,300.583,6.32
19,mataura,NaN,pf,NaN,NaN,NaN,NaN
20,taolanaro,NaN,mg,NaN,NaN,NaN,NaN
21,rikitea,64,pf,98,-23.12,300.583,6.32
22,albany,0,au,93,-35.02,286.483,3.57
23,punta arenas,75,cl,47,-53.16,287.1,14.4
24,hermanus,0,za,71,-34.42,290.233,1.22
25,bredasdorp,0,za,56,-34.53,296.15,4.1
26,rikitea,64,pf,98,-23.12,300.583,6.32
27,ushuaia,75,ar,47,-54.81,288.15,11.3
28,mataura,NaN,pf,NaN,NaN,NaN,NaN
29,mataura,NaN,pf,NaN,NaN,NaN,NaN
30,mataura,NaN,pf,NaN,NaN,NaN,NaN
31,vaini,75,to,88,-21.2,299.15,2.87
32,busselton,0,au,100,-33.64,291.083,7.62
33,ushuaia,75,ar,47,-54.81,288.15,11.3
34,punta arenas,75,cl,47,-53.16,287.1,14.4
35,ushuaia,75,ar,47,-54.81,288.15,11.3
36,ushuaia,75,ar,47,-54.81,288.15,11.3
37,bluff,92,nz,95,-46.6,289.508,3.52
38,hermanus,0,za,71,-34.42,290.233,1.22
39,ushuaia,75,ar,47,-54.81,288.15,11.3
40,port alfred,80,za,90,-33.59,294.483,1.77
41,bluff,92,nz,95,-46.6,289.508,3.52
42,hobart,75,au,87,-42.88,288.15,7.7
43,new norfolk,75,au,87,-42.78,288.15,7.7
44,albany,0,au,93,-35.02,286.483,3.57
45,mataura,NaN,pf,NaN,NaN,NaN,NaN
46,albany,0,au,93,-35.02,286.483,3.57
