,@BBC compound,@BBC positive,@BBC negative,@BBC neutral,@BBC date,@BBC text,@CBS compound,@CBS positive,@CBS negative,@CBS neutral,@CBS date,@CBS text,@CNN compound,@CNN positive,@CNN negative,@CNN neutral,@CNN date,@CNN text,@foxnews compound,@foxnews positive,@foxnews negative,@foxnews neutral,@foxnews date,@foxnews text,@nytimes compound,@nytimes positive,@nytimes negative,@nytimes neutral,@nytimes date,@nytimes text
0,0.0,0.0,0.0,1.0,Wed Mar 07 19:12:02 +0000 2018,"'Harry was looking at his family for the first time in his life'. 

💛⚡️✨ David Thewlis reading #HarryPotter is trul… https://t.co/wAyCDFvrX2",-0.2023,0.15,0.23,0.619,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",0.1779,0.072,0.0,0.928,Wed Mar 07 20:17:08 +0000 2018,Amazon could wind up with more than 70 million banking customers over the next five years if it started to offer ch… https://t.co/qpoXZZYSul,-0.128,0.0,0.077,0.923,Wed Mar 07 20:13:33 +0000 2018,".@PressSec on @POTUS' advisers: ""At the end of the day, the American people voted overwhelmingly for President Dona… https://t.co/iSiw6ThQ6i",0.0,0.0,0.0,1.0,Wed Mar 07 20:15:06 +0000 2018,School officials called the podcast “concerning” and said the teacher had been removed from the classroom https://t.co/GIwIdVNGnj
1,0.0,0.0,0.0,1.0,Wed Mar 07 18:23:04 +0000 2018,"✂️ ‘My hair is a symbol of pride.’

💇🏽💇🏿💇🏾 Six stories about black women's hair.
👉 https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",0.0,0.0,0.0,1.0,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,0.0,1.0,Wed Mar 07 20:10:39 +0000 2018,Russian President Vladimir Putin in a recent interview separated a conciliatory attitude toward President Trump fro… https://t.co/gtwgpyCpHz,-0.6908,0.0,0.32,0.68,Wed Mar 07 20:09:53 +0000 2018,Connecticut Governor @GovMalloyOffice: The @NRA Has Become a 'Terrorist Organization' https://t.co/7GmpB2IrU7 https://t.co/KKTyNEBgwm,0.0,0.0,0.0,1.0,Wed Mar 07 20:00:25 +0000 2018,It is believed to be the oldest known message in a bottle ever recovered https://t.co/80UquQH4vs
2,0.4987,0.264,0.0,0.736,Wed Mar 07 17:42:01 +0000 2018,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,0.6705,0.244,0.0,0.756,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.8176,0.309,0.0,0.691,Wed Mar 07 20:07:34 +0000 2018,RT @CNNPolitics: Sanders: Veterans Affairs Secretary David Shulkin “has done a great job” on a number of the things and “we’re proud of the…,0.743,0.289,0.0,0.711,Wed Mar 07 20:06:46 +0000 2018,".@PressSec on trade talks with China: ""[@POTUS] feels like the United States has been taken advantage of for far to… https://t.co/1kPgglH79b",0.7096,0.257,0.0,0.743,Wed Mar 07 19:45:05 +0000 2018,"Fans of the book and admirers of Ava DuVernay’s work can breathe a sigh of relief, and some may also find that thei… https://t.co/79AxAes6aH"
3,0.0,0.0,0.0,1.0,Wed Mar 07 17:27:29 +0000 2018,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",0.3818,0.167,0.0,0.833,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",-0.1655,0.083,0.109,0.808,Wed Mar 07 20:02:07 +0000 2018,"The US FDA gave its approval to a 23andMe test that screens for a few breast and ovarian cancer genes, but that app… https://t.co/1CxE97nx2g",-0.2263,0.063,0.107,0.829,Wed Mar 07 20:02:17 +0000 2018,".@PressSec on admin resignations: ""This is an intense place, as [is] every @WhiteHouse, and it's not abnormal that… https://t.co/A11fP4JkLU",0.1366,0.218,0.196,0.587,Wed Mar 07 19:30:27 +0000 2018,South Korean envoys were not prepared for how daring Kim Jong-un could be in his charm offensive https://t.co/JjLTugDYxv
4,0.0,0.0,0.0,1.0,Wed Mar 07 17:22:51 +0000 2018,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",0.4404,0.116,0.0,0.884,Sun Mar 04 08:05:26 +0000 2018,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",0.0,0.0,0.0,1.0,Wed Mar 07 19:59:31 +0000 2018,"RT @CNNPolitics: CNN's Jeff Zeleny: Was President Trump aware of the payment made to Stormy Daniels?

Sanders: ""The President has addressed…",-0.3818,0.0,0.167,0.833,Wed Mar 07 19:57:21 +0000 2018,".@PressSec: ""@SenSchumer is blocking nominees indiscriminately. He forces time-wasting procedural votes on nominees… https://t.co/PlGewVUYix",0.0,0.0,0.0,1.0,Wed Mar 07 19:15:13 +0000 2018,"RT @danielle_ivory: Hundreds of former Trump campaign workers have been hired at every major federal agency. At the White House, there have…"
5,0.8555,0.37,0.0,0.63,Wed Mar 07 17:22:23 +0000 2018,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,0.0,0.0,0.0,1.0,Sat Mar 03 20:55:20 +0000 2018,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",0.0,0.0,0.0,1.0,Wed Mar 07 19:58:37 +0000 2018,Jaguar reveals its first electric SUV https://t.co/d9zbBNs5sn https://t.co/f5Oj3Rbx9O,0.0,0.0,0.0,1.0,Wed Mar 07 19:45:55 +0000 2018,.@PressSec holds a White House briefing.  https://t.co/9P6qJX3VQm,0.0,0.0,0.0,1.0,Wed Mar 07 19:00:38 +0000 2018,"The cells that eat, regurgitate and then re-eat your tattoos https://t.co/YqPl80y1TI"
6,0.0,0.0,0.0,1.0,Wed Mar 07 17:16:45 +0000 2018,RT @bbceurovision: A storm is coming.@surieofficial  ⛈ 👉 https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,0.7096,0.247,0.0,0.753,Fri Mar 02 22:30:01 +0000 2018,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",0.0,0.0,0.0,1.0,Wed Mar 07 19:56:03 +0000 2018,"RT @CNNPolitics: White House press secretary Sarah Sanders on staff turnover at the White House: ""It's not abnormal that you would have peo…",-0.6908,0.0,0.37,0.63,Wed Mar 07 19:27:52 +0000 2018,Connecticut Governor: The NRA Has Become 'Terrorist Organization' https://t.co/YKeBWSBmdr,-0.6361,0.095,0.285,0.62,Wed Mar 07 18:50:09 +0000 2018,Peter Thiel warned for years that the big tech companies were arrogant and clueless and less good for mankind than… https://t.co/CDL27t8iu2
7,0.5562,0.183,0.0,0.817,Wed Mar 07 17:14:49 +0000 2018,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? 🤔 #BackInTimeForTea https://t.co/l0R6nHrTj1,0.7096,0.282,0.0,0.718,Fri Mar 02 20:30:01 +0000 2018,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",0.8225,0.323,0.0,0.677,Wed Mar 07 19:50:04 +0000 2018,"Inspired by a TED Talk, this 16 year-old boy started a pilot program that hires homeless people to help clean up Sa… https://t.co/VqFLfMYSc9",0.0,0.0,0.0,1.0,Wed Mar 07 19:18:17 +0000 2018,Patriotic Teens Replace Family's Tattered American Flag https://t.co/4o6xzuDxKW,-0.6124,0.0,0.238,0.762,Wed Mar 07 18:40:42 +0000 2018,“This is basically going to war.” California’s governor struck back after Attorney General Jeff Sessions attacked t… https://t.co/CwetPpkj9a
8,0.0,0.0,0.0,1.0,Wed Mar 07 17:13:49 +0000 2018,"📖 Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",0.4939,0.151,0.0,0.849,Fri Mar 02 18:45:00 +0000 2018,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",0.0,0.0,0.0,1.0,Wed Mar 07 19:47:41 +0000 2018,"The White House is holding a press briefing. Watch CNN: https://t.co/UYpqI3w42L

Watch on Facebook:… https://t.co/FmrnhiDRuu",-0.0258,0.168,0.174,0.659,Wed Mar 07 19:04:10 +0000 2018,North Korean defector describes nation's perception of United States; @EricShawnTV reports. #OutnumberedOT https://t.co/eAjIACofoO,-0.2732,0.0,0.11,0.89,Wed Mar 07 18:27:53 +0000 2018,Should Germany’s national anthem drop the words “fatherland” and “brotherly”? An official suggested some ways to ma… https://t.co/mtjTh840M2
9,0.0,0.0,0.0,1.0,Wed Mar 07 16:15:06 +0000 2018,RT @bbccomedy: WOOF! ❤️#RikMayallDay https://t.co/ioJtvYVFRO,-0.6981,0.0,0.21,0.79,Thu Mar 01 18:59:01 +0000 2018,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,0.0,0.0,0.0,1.0,Wed Mar 07 19:40:08 +0000 2018,"The creator of Pepe the Frog, the once-innocent cartoon that was appropriated as a mascot of the alt-right, is suin… https://t.co/DYmjDxHd7H",-0.7579,0.0,0.317,0.683,Wed Mar 07 18:58:16 +0000 2018,"BREAKING NEWS: Nikolas Cruz formally charged with 17 counts of murder in Valentine’s Day massacre
https://t.co/dPIkZIM2Ce",-0.1293,0.062,0.126,0.812,Wed Mar 07 18:12:50 +0000 2018,"A week's worth of gas. A few gallons of milk. Few are complaining, but many in the working class are not feeling fl… https://t.co/sB9O02xef3"
